timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784823309101,2026-07-23T16:15:09.101728+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.18,80.0,7,1,1240.12,45,3428.128
1784823310101,2026-07-23T16:15:10.101925+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.38,80.0,8,1,1240.12,46,3456.794
1784823311102,2026-07-23T16:15:11.102131+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.42,80.0,14,2,1240.12,45,3485.937
1784823312102,2026-07-23T16:15:12.102318+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.31,80.0,7,1,1240.12,45,3514.558
1784823313102,2026-07-23T16:15:13.102443+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.65,80.0,7,1,1240.12,45,3543.149
1784823314102,2026-07-23T16:15:14.102597+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.98,80.0,14,2,1240.12,45,3572.433
1784823315102,2026-07-23T16:15:15.102826+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.83,80.0,7,1,1240.12,45,3601.455
1784823316103,2026-07-23T16:15:16.103021+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.56,80.0,7,1,1240.12,45,3629.656
1784823317103,2026-07-23T16:15:17.103208+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.4,80.0,9,1,1240.12,45,3658.379
1784823318103,2026-07-23T16:15:18.103395+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.56,80.0,14,2,1240.12,44,3683.154
1784823319103,2026-07-23T16:15:19.103587+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,17.43,80.0,0,0,1240.12,44,3699.601
1784823320103,2026-07-23T16:15:20.103780+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.57,80.0,0,0,1240.12,44,3716.056
1784823321103,2026-07-23T16:15:21.103903+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,21.54,80.0,0,0,1240.12,45,3743.681
1784823322104,2026-07-23T16:15:22.104053+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,37.27,80.0,21,3,1240.12,46,3780.677
1784823323104,2026-07-23T16:15:23.104210+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,35.22,80.0,19,3,1240.12,45,3811.556
1784823324104,2026-07-23T16:15:24.104407+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.49,80.0,14,2,1240.12,45,3840.145
1784823325104,2026-07-23T16:15:25.104614+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.83,80.0,7,1,1240.12,45,3868.436
1784823326104,2026-07-23T16:15:26.104761+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.62,80.0,7,1,1240.12,45,3898.241
1784823327104,2026-07-23T16:15:27.104928+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.65,80.0,14,2,1240.12,46,3928.244
1784823328105,2026-07-23T16:15:28.105114+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.23,80.0,13,2,1240.12,45,3957.356
1784823329105,2026-07-23T16:15:29.105298+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.01,80.0,7,1,1240.12,45,3986.142
1784823330105,2026-07-23T16:15:30.105482+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.81,80.0,7,1,1240.12,45,4015.426
1784823331105,2026-07-23T16:15:31.105679+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.45,80.0,14,2,1240.12,45,4045.48
1784823332105,2026-07-23T16:15:32.105910+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.24,80.0,10,2,1240.12,45,4073.884
1784823333106,2026-07-23T16:15:33.106062+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.92,80.0,7,1,1240.12,45,4104.065
1784823334106,2026-07-23T16:15:34.106250+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.73,80.0,14,2,1240.12,46,4133.388
1784823335106,2026-07-23T16:15:35.106442+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.7,80.0,10,2,1240.12,45,4162.494
1784823336106,2026-07-23T16:15:36.106480+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.16,80.0,7,1,1240.12,45,4190.415
1784823337106,2026-07-23T16:15:37.106656+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.14,80.0,8,1,1240.12,45,4220.138
1784823338106,2026-07-23T16:15:38.106864+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.25,80.0,14,2,1240.12,45,4247.861
1784823339107,2026-07-23T16:15:39.107047+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.68,80.0,7,1,1240.12,45,4276.949
1784823340107,2026-07-23T16:15:40.107180+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.75,80.0,7,1,1240.12,45,4305.069
1784823341107,2026-07-23T16:15:41.107365+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.05,80.0,13,2,1240.12,46,4334.425
1784823342107,2026-07-23T16:15:42.107561+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.96,80.0,14,2,1240.12,45,4363.283
1784823343107,2026-07-23T16:15:43.107764+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.75,80.0,7,1,1240.12,45,4391.881
1784823344107,2026-07-23T16:15:44.107912+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.19,80.0,7,1,1240.12,45,4421.757
1784823345108,2026-07-23T16:15:45.108078+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.4,80.0,14,2,1240.12,46,4450.138
1784823346108,2026-07-23T16:15:46.108279+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.26,80.0,8,2,1240.12,45,4479.28
1784823347108,2026-07-23T16:15:47.108461+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.18,80.0,7,1,1240.12,45,4509.098
1784823348108,2026-07-23T16:15:48.108625+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.75,80.0,7,1,1240.12,47,4539.048
1784823349108,2026-07-23T16:15:49.108793+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.66,80.0,14,2,1240.12,45,4567.423
1784823350108,2026-07-23T16:15:50.108990+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.84,80.0,7,1,1240.12,45,4595.155
1784823351109,2026-07-23T16:15:51.109172+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.76,80.0,7,1,1240.12,45,4624.632
1784823352109,2026-07-23T16:15:52.109361+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.1,80.0,9,1,1240.12,45,4653.412
1784823353109,2026-07-23T16:15:53.109580+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.45,80.0,14,2,1240.12,45,4681.883
1784823354109,2026-07-23T16:15:54.109723+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.09,80.0,10,2,1240.12,45,4710.843
1784823355109,2026-07-23T16:15:55.109936+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.04,80.0,7,1,1240.12,45,4738.699
1784823356110,2026-07-23T16:15:56.110063+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.67,80.0,7,1,1240.12,45,4766.675
1784823357110,2026-07-23T16:15:57.110238+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.15,80.0,13,2,1240.12,45,4794.839
1784823358110,2026-07-23T16:15:58.110442+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.52,80.0,13,2,1240.12,45,4823.911
1784823359110,2026-07-23T16:15:59.110640+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.98,80.0,7,1,1240.12,45,4852.37
1784823360110,2026-07-23T16:16:00.110820+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.77,80.0,9,1,1240.12,45,4881.918
1784823361110,2026-07-23T16:16:01.110998+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.74,80.0,14,2,1240.12,45,4910.258
1784823362111,2026-07-23T16:16:02.111185+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.11,80.0,8,2,1240.12,45,4938.472
1784823363111,2026-07-23T16:16:03.111324+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.75,80.0,7,1,1240.12,45,4967.283
1784823364111,2026-07-23T16:16:04.111477+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,30.15,80.0,14,2,1240.12,45,4996.111
1784823365111,2026-07-23T16:16:05.111653+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.6,80.0,7,1,1240.12,45,5024.514
